What,Where,When,How_Much
Gospeljulekoncert.,"[55.64157100000001, 12.293212]",1930,
Koncert med Green Valley Gospel.,"[55.69580449999999, 12.5124692]",1930,
Julekoncerter 2017 / Concerto Copenhagen.,"[55.6815933, 12.5761475]",2000,200
Peter Belli - Udsolgt!,"[55.64195900000001, 12.4784213]",2000,175
ACT 25 at Montmartre: Leszek M.,"[55.681945, 12.582381]",2000,305
Koncert med Marie Carmen Koppel.,"[55.6725191, 12.5872964]",2000,
WonderBrazz feat Wafande.,"[None, None]",2030,200
Karma Koncert: Wonderbrazz feat. Wafande.,"[None, None]",2030,180
Modest (DK).,"[55.6680687, 12.5444302]",2100,105
Jonah Blacksmith (dk) - Få Billetter.,"[55.6680529, 12.5439823]",2100,175
Flashbacks and Dedications.,"[None, None]",2100,100
Klokkespilskoncert.,"[55.6729387, 12.5942102]",1500,
"Hess/AC/Hess : ""Spacelab"" - with a touch of x-mas.","[55.68379270000001, 12.5762312]",1530,120
December jazz.,"[55.6321998, 12.6227412]",1530,
Fredagskoncert.,"[55.6815933, 12.5761475]",1630,
Marie Carmen Koppel Julekoncert 2017.,"[55.6725191, 12.5872964]",1700,235
Advent III.,"[55.6799666, 12.5289164]",1700,
Adventskoncert med Bjørn Carl Nielsen og Jakob Keiding.,"[55.6799666, 12.5289164]",1700,
Tivoli-gardens Julekoncert.,"[55.678298, 12.507264]",1700,
Julekoncert Lifekoret.,"[55.684364, 12.541787]",1730,
ZK og Moon - koncert.,"[55.6467245, 12.5300743]",1900,
Julekoncert med Dopplers.,"[55.7650325, 12.4978003]",1900,
Luisi &amp; Beethovens 7.,"[55.6575405, 12.5905654]",1930,85
Cphphil Bachs Juleoratorium.,"[55.67933859999999, 12.5723587]",1930,190
"Viseaften, "" Jul, jul, jul"".","[55.7018511, 12.4980497]",1930,40
Gitte Degns Julepopkor.,"[55.679125, 12.577278]",1930,
"Viseaften v/ Visens Venner: Jul, jul, jul.","[55.7018511, 12.4980497]",1930,70
"Merry Christmas, Baby.","[55.6575405, 12.5905654]",2000,
ACT 25 at Montmartre: Vincent P.,"[55.681945, 12.582381]",2000,305
Marie Carmen Koppel Julekoncert 2017.,"[55.6725191, 12.5872964]",2000,235
Chimbos Revival.,"[55.718791, 12.4014]",2000,
Peter Belli &amp; Band - Ekstra!,"[55.68181879999999, 12.4566722]",2000,245
Amagerbro Jazz: Bévort 3.,"[55.6652, 12.603869]",2000,100
Rust Live.,"[55.691235, 12.5592894]",2030,
Ibrahim Electric på Loppen.,"[55.673854, 12.597078]",2100,135
Johnny Horsepower - Cash Cover.,"[55.6808557, 12.5331994]",2100,
2 x Rasmus og Søren.,"[55.6733667, 12.5627836]",2100,
Afro-Colombian Rave: El Leopardo &amp; Ghetto Kumbé.,"[55.6915274, 12.560277]",2200,120
Rust Natklub.,"[55.691235, 12.5592894]",2300,
Izzyy.,"[55.691235, 12.5592894]",2300,
Hugo spiller julejazz i Farum Kulturhus.,"[55.8140332, 12.3774072]",1130,
Orgelmatiné.,"[55.67933859999999, 12.5723587]",0000,
Julekoncert 2017.,"['None', 'None']",1300,
Jul med klaverelever.,"[55.646425, 12.413561]",1330,
Jul på Dansk.,"[55.6766342, 12.5836015]",1400,180
Egetoft Ebeltoft Kvartet  (with a touch of X-mas).,"[55.68379270000001, 12.5762312]",1430,100
Julekoncert med Vokalgruppen kolorit.,"['None', 'None']",1500,
Det Ny Tonefilmsorkester.,"[None, None]",1500,85
Koret Facett synger julen ind i Sengeløse Kirke.,"[55.6817144, 12.2512543]",1500,
"Merry Christmas, Baby.","[55.6575405, 12.5905654]",1600,
Carmen Culers´ julekoncert 2017.,"['None', 'None']",1600,50
Nordlys og Jokers - Julekoncert.,"[55.6375361, 12.6414879]",1600,
Julekoncert.,"[55.668571, 12.4647919]",1600,
Julekoncert med Vox Absona.,"[55.678747, 12.498775]",1600,
Bauer synger julen ind.,"[55.721258, 12.528307]",1600,
Sankt Annæ Pigekors Julekoncert.,"[55.679125, 12.577278]",1630,
Chimbos Revival.,"[55.665615, 12.441114]",1700,
Koncert med Anne Dorte Michelsen Trio.,"[55.6725191, 12.5872964]",1700,
Thomas Dybdahl (no) - Få Billetter.,"[55.6680529, 12.5439823]",1900,295
Julekoncert i København med Lars Muhl & Githa Ben-David.,"['None', 'None']",1900,150
Vinbar med tapas og live musik.,"['None', 'None']",2000,
"Sangbar Æ,Ø&Å - December.","[55.6712453, 12.5908425]",2000,30
ACT 25 at Montmartre: Iiro Rantala.,"[55.681945, 12.582381]",2000,305
Rust Live.,"[55.691235, 12.5592894]",2030,
X-Mas 2017: Debre Damo Dining Orchestra.,"[55.6915274, 12.560277]",2100,80
Honeymoon Disease (SE) + Support.,"['None', 'None']",2100,95
Soleima (DK) visuals by Dark Matters and Prxjects - UDSOLGT.,"[55.6680529, 12.5439823]",2130,135
Somebody's coming.,"[55.6756788, 12.5735544]",2200,70
Flavour.,"[55.691235, 12.5592894]",2300,
"""Ni læsninger"" i Kastelskirken.","['None', 'None']",1000,
Anders &amp; Katrine.,"[None, None]",1100,130
Klassisk Julemusik og Julegodter!,"[55.730546, 12.35193]",0000,95
DR PigeKorets jul.,"[55.6575405, 12.5905654]",1300,
Julekoncert med Zone2s musikelever.,"[55.6608168, 12.5183923]",1300,40
Anne Linnets Julekoncert.,"[55.6729387, 12.5942102]",1400,
Caroline Henderson - Julekoncert 2017.,"[55.6725191, 12.5872964]",1500,275
Julekoncert.,"[55.7058607, 12.4986346]",1500,
9 læsninger med Kammerkoret Laetitia Musica.,"[55.69580449999999, 12.5124692]",1500,
Julefortælling: Hvorfor vi holder Jul.,"[None, None]",1500,
Julekoncert.,"[55.76257409999999, 12.5927498]",1500,
Messias.,"[55.6876497, 12.5872221]",1600,200
Julekoncert.,"[55.6375361, 12.6414879]",1600,
Sensommerkorets julekoncert 2017.,"['None', 'None']",1600,
Julekoncert med Slangerupkoret.,"[55.6556526, 12.61767]",1600,
Rødovre Concert Band turns 50 Concert NO. 2.,"[55.68181879999999, 12.4566722]",1600,90
Julekoncert Amagerbrokirkernes Voksenkor.,"[55.66489679999999, 12.6044399]",1600,
Julekoncert.,"[55.6478938, 12.6049463]",1600,
Julekoncert.,"[55.6715744, 12.5603597]",1600,
Tårnbykoret.,"[55.6375361, 12.6414879]",1600,
Klassisk julekoncert.,"[55.637898, 12.3655291]",1600,
Koncert med JoKoFo.,"[55.6929642, 12.5442185]",1600,
Julekoncert til fordel for Frelsens Hær.,"[55.6654631, 12.5221597]",1600,
Bachs Juleoratorium med Kantatekoret.,"[55.5959324, 12.6369114]",1600,
Sankt Annæ Pigekors Julekoncert.,"[55.679125, 12.577278]",1630,
Anne Linnets Julekoncert.,"[55.6729387, 12.5942102]",1700,
Julekoncert med Vokalensemblet Dekorum.,"[55.7496659, 12.5414939]",1700,
Caroline Henderson - Julekoncert 2017.,"[55.6725191, 12.5872964]",1800,275
Koncert Københavns Bachkor.,"[55.6608674, 12.6053029]",1930,
Det Danske Drengekors Julekoncert.,"[55.7165482, 12.533708]",1930,
Koncert - Fangekoret.,"[55.7442907, 12.4946641]",1930,
Messias med Kammerkoret Camerata.,"[55.6766342, 12.5836015]",1930,
Syng dig glad - Julesang.,"[55.6321998, 12.6227412]",1600,30
Helligaandskirkens kirkekors julekoncert.,"[55.679125, 12.577278]",1630,
Fløjtejul på Kilden.,"[55.6676766, 12.4400285]",1700,
DR PigeKorets jul.,"[55.6575405, 12.5905654]",1830,110
Messias med Kammerkoret Camerata.,"[55.6766342, 12.5836015]",1930,
24 Timer Musicals.,"[55.6768444, 12.5611143]",2000,265
Jakob Ogawa (NO).,"[55.6680687, 12.5444302]",2000,
Solstafir + Myrkur - Få Billetter.,"[55.677125, 12.5651939]",2000,200
The BigBand: Merry Christmas Everyone.,"[55.6608168, 12.5183923]",2000,60
Monday Night Big Band med gæster feat. Bob Moreno Dirigent: Niels Jørgen Steen.,"[None, None]",2100,200
Monday Juke Joint.,"[55.6756788, 12.5735544]",2130,
Musik op til jul.,"[55.7106939, 12.4847902]",1630,
Julekoncert.,"[55.6636925, 12.3940946]",1700,
Caroline Henderson - Julekoncert 2017.,"['None', 'None']",1700,275
Bachs Juleoratorium med Københavns Kantatekor.,"[55.6766342, 12.5836015]",1930,120
De ni læsninger og Carols.,"[55.7320396, 12.5406703]",1930,
Julekoncert med Laura Kjærgaard.,"[None, None]",1930,
Julekoncert med Kor Dialis.,"[55.649728, 12.503308]",1930,
Messias.,"[55.7165482, 12.533708]",1930,
Bachs Juleoratorium med KantateKoret.,"[55.6766342, 12.5836015]",1930,
Aj Tracey (uk).,"[55.6680529, 12.5439823]",2000,165
Cæcilie Norby's Jazzy Christmas.,"[55.681945, 12.582381]",2000,405
Julekoncert med Kammerkoret Broccoli.,"['None', 'None']",2000,50
Acappella korets juleafslutning 19. dec. kl. 20.,"[55.686089, 12.533412]",2000,
Onsdagsjazz V. Jacob Fischer - Dagens Gryde.,"[55.6808557, 12.5331994]",1630,
Koncert med Caroline Henderson.,"[55.6725191, 12.5872964]",1700,
Korkoncert.,"[55.67988, 12.570822]",1730,
Bachs Juleoratorium med Københavns Kantatekor.,"[55.761681, 12.444827]",1930,120
Flamencolegenderne.,"[55.683575, 12.564454]",1930,155
Messias.,"[55.7165482, 12.533708]",1930,
Koncert med Verdenskoret og Onsdagsklubben.,"[55.6929642, 12.5442185]",1930,
Cæcilie Norby's Jazzy Christmas.,"[55.681945, 12.582381]",2000,405
Jul i Sokkelund.,"[55.6817515, 12.5894416]",2000,130
Koncert i anledning af Fini Henriques 150 års fødselsdag.,"[55.6783771, 12.527761]",2000,
Dreamers' Circus.,"['None', 'None']",2000,250
Koncert med Caroline Henderson.,"[55.6725191, 12.5872964]",2000,
Jesse Baldwell and the Free Union.,"[55.6756788, 12.5735544]",2130,
½ times julemusik.,"[55.7058607, 12.4986346]",1700,
Zididada.,"[55.6756788, 12.5735544]",1900,220
"ALL SWING &amp; BOSSA, Ole Schmidt, tenorsax og Jørgen Schaarup, guitar.","[55.6792101, 12.5897645]",1900,
Johannes' Åbenbaring.,"[55.6575405, 12.5905654]",1930,85
Messias med Kammerkoret Camerata.,"[55.6766342, 12.5836015]",1930,
Julekoncert med Vokalensemblet Dekorum.,"['None', 'None']",2000,50
Cæcilie Norby's Jazzy Christmas.,"[55.681945, 12.582381]",2000,405
Koncert med Caroline Henderson.,"[55.6725191, 12.5872964]",2000,
"Jacob Fischer ""Young X-mas Friends"".","[55.68379270000001, 12.5762312]",1530,120
Fredagskoncert.,"[55.6815933, 12.5761475]",1630,
Julekoncert.,"[55.679125, 12.577278]",1630,
Advent IV.,"[55.6799666, 12.5289164]",1700,
½ times julemusik.,"[55.7058607, 12.4986346]",1700,
Adventskoncert med Solbjerg Kirkes Kammerorkester.,"[55.6799666, 12.5289164]",1700,
Cæcilie Norby's Jazzy Christmas.,"[55.681945, 12.582381]",2000,405
Jul med Det Danske Kammerkor.,"[55.678298, 12.507264]",2000,
Mens vi venter.,"[55.679125, 12.577278]",2100,
Infernal (dk) - Få Billetter.,"[55.6680529, 12.5439823]",2130,200
Dale Smith Blues Band.,"[55.6756788, 12.5735544]",2200,100
Mulatov.,"[55.691235, 12.5592894]",2300,
Rust Natklub.,"[55.691235, 12.5592894]",2300,
Matiné.,"[55.67933859999999, 12.5723587]",0000,
Julevesper.,"[55.67933859999999, 12.5723587]",1430,
Bachkantater i Sankt Petri.,"[55.67988, 12.570822]",1500,
Østerbro Jazzklub: Norbert Susemihl's Joyful Gumbo.,"['None', 'None']",1530,80
Frede Fup + Ama?r Kix.,"['None', 'None']",2000,195
Bobo Moreno m.fl.,"[55.681945, 12.582381]",2000,330
Sankt Hell - Julerock På Loppen!,"[55.673854, 12.597078]",2030,220
Suspekt (dk) - Udsolgt.,"[55.6680529, 12.5439823]",2100,300
Peter Belli &amp; De Rejsende - Venteliste.,"['None', 'None']",2000,245
Zapp Zapp.,"[55.6575405, 12.5905654]",2000,295
Bobo Moreno m.fl.,"[55.681945, 12.582381]",2000,330
Suspekt (dk) - Venteliste.,"[55.6680529, 12.5439823]",2100,300
Nytårsgalla.,"[55.6575405, 12.5905654]",1500,248
December jazz.,"[55.6321998, 12.6227412]",1530,
Bobo Moreno m.fl.,"[55.681945, 12.582381]",2000,330
Amagerbro Jazz: Wonderbrazz.,"[55.6652, 12.603869]",2000,100
Suspekt (DK) Ekstra ekstra koncert.,"[55.6680529, 12.5439823]",2100,300
Orgelmatiné.,"[55.67933859999999, 12.5723587]",0000,
Bobo Moreno m.fl.,"[55.681945, 12.582381]",2000,330
Mikkel Nordsø Band Juleshow 2017.,"['None', 'None']",2100,195
Klokkespilskoncert.,"[55.6729387, 12.5942102]",1500,
"Kjeld Lauritsen ""Hammond Organ 7"".","[55.68379270000001, 12.5762312]",1530,120
Fyraftenskoncert med Amazone Kvartetten.,"[55.7496659, 12.5414939]",1630,
Fredagskoncert.,"[55.6815933, 12.5761475]",1630,
Koncert med Theatre of Voices.,"[None, None]",1700,
Koncertserien 24 - koncerter med unge talenter.,"[55.686089, 12.533412]",1900,
Jan zum Vohrde &amp; Morten Højring trio.,"[55.6756414, 12.5642281]",1900,
Afkham &amp; Aimard.,"[55.6575405, 12.5905654]",1930,85
Cphphil Anders Koppel 70 år.,"[55.6733994, 12.5826588]",1930,295
"Viseaften, ""Døgnet rundt"".","[55.7018511, 12.4980497]",1930,40
"Skar's Blues Band spiller på Café Espersen, Dragør Havn.","[55.5934223, 12.6779833]",1930,
Viseaften v/ Visens Venner: Døgnet rundt.,"[55.7018511, 12.4980497]",1930,70
The Minds Of 99.,"['None', 'None']",2000,
Christina von Bülow m.fl.,"[55.681945, 12.582381]",2000,305
Cool Sweetness Sextet.,"[55.7111828, 12.519947]",2000,100
Bigbandet WONDERBRA inviterer til efterårskoncert.,"[55.73196, 12.3625764]",2000,50
EMS - En temaaften om EMS (ElektronMusikStudion).,"[55.6712453, 12.5908425]",2000,60
Amagerbro Jazz: Mighty Mouse.,"[55.6652, 12.603869]",2000,100
Route 66 - 60'er musik - Bobby Molino & Nutrockers.,"[55.8155789, 12.4025647]",2030,100
D/troit + special guests.,"[55.677125, 12.5651939]",2100,115
Nytårsgalla.,"[55.6575405, 12.5905654]",1300,248
Singlerock's fantastiske Nytårsaften.,"[55.701021, 12.53664]",1700,17
"Open mike: Peter, Theis and Jens.","[55.67705369999999, 12.5756049]",2000,145
Vi Elsker 90'erne ( Warm up/ New year edition).,"[55.672941, 12.4738013]",2100,
Folkets Hus Spillefolk Nytårsbal.,"[55.686089, 12.533412]",1400,
Jam-session på Lipperts.,"[55.6517012, 12.3037462]",1800,
Nytårskoncert 2018.,"[55.65525909999999, 12.2956019]",1930,395
Kærlighed i tekst og Tone.,"[55.6608674, 12.6053029]",2000,
Orgelmesterkoncert.,"[55.7165482, 12.533708]",1930,
Duellen - Morricone trækker først.,"[55.6575405, 12.5905654]",2000,135
"""The music of Dave Brubeck &amp; Paul Desmond"".","[55.68379270000001, 12.5762312]",1530,120
Nytårskoncert.,"[55.6815933, 12.5761475]",1630,
Duellen - Morricone trækker først.,"[55.6575405, 12.5905654]",1830,135
P6 Beat.,"[55.6575405, 12.5905654]",1930,245
Helligtrekongersaften 2018.,"[55.6766342, 12.5836015]",1930,
Ridin' Thumb Nytårsfunk.,"[55.8155789, 12.4025647]",2100,250
Himlens hvide stilhed.,"[55.679125, 12.577278]",2100,
Orgelkoncert 'La Nativité du Seigneur'.,"[55.67933859999999, 12.5723587]",0000,
Edisons.,"[55.70837299999999, 12.532276]",1400,
Nytårsfest for sognets seniorer.,"[55.657117, 12.443056]",1400,
"""Tranquebar"".","[55.68379270000001, 12.5762312]",1430,90
Helligtrekongerskoncert.,"['None', 'None']",1600,
Dissing & Las synger Dylan feat. Dan Hemmer på kirkeorgel.,"[55.6725191, 12.5872964]",1700,225
Nytårskoncert - At The Sands.,"[55.6575405, 12.5905654]",2000,
Nytårskoncert: Trio From Hell.,"[55.7018511, 12.4980497]",1400,130
Nytårs souljazz-lounge v/AN lok. 3+4.,"[55.6536661, 12.3044149]",1400,
Søndagsbal med Rødovre Palmehaveorkester.,"[55.6826581, 12.4667842]",1400,50
Nytårskoncert - At The Sands.,"[55.6575405, 12.5905654]",1500,
La Nativité du Seigneur.,"[55.6729387, 12.5942102]",1500,
Nytårskoncert - Rødovre Musikpris 2018.,"[55.68181879999999, 12.4566722]",1500,160
Koncert med pianist Laurits Dragsted.,"['None', 'None']",1500,
Nytårskoncerten 2018.,"[55.68111589999999, 12.5528412]",1600,420
Conviviums julekoncert.,"[55.81365340000001, 12.3854586]",1600,
Nytårsjazz.,"['None', 'None']",1930,
Ensemble Storstrøm.,"[55.6460586, 12.3076324]",1930,
Nytårskoncert med The Nordic Singers.,"[55.6264048, 12.4857245]",1900,
Depeche Mode - Global Spirit Tour - Udsolgt/venteliste.,"[55.6252114, 12.5736741]",2000,540
Jazz: Berømte Trioer.,"[55.76075609999999, 12.4568021]",1900,
Radio Mercur.,"[55.6636925, 12.3940946]",1900,30
"Juleoratoriet, II.","[55.6575405, 12.5905654]",1930,73
Nytårskoncert Prinsens Musikkorps.,"[55.65525909999999, 12.2956019]",1930,195
Nytårskur (med tilbehør).,"[55.7395721, 12.4933224]",1930,
Kim Larsen &amp; Kjukken - Udsolgt.,"['None', 'None']",2100,395
Bülow/Bülow/Franck Trio.,"[55.68379270000001, 12.5762312]",1530,100
Fredagskoncert: Orgel.,"[55.6815933, 12.5761475]",1630,
Fredagscaférock i Taastrup Medborgerhus.,"[55.6517012, 12.3037462]",1800,155
"Juleoratoriet, II.","[55.6575405, 12.5905654]",1930,73
DiamanEnsemblets Nytårskoncert.,"[55.6733994, 12.5826588]",1930,130
Ramslag Folkets Hus Spillefolk.,"[55.686089, 12.533412]",2000,30
New Orleans New Year Jazz Event #6 - DAY 1.,"[55.677125, 12.5651939]",2000,150
Kim Larsen &amp; Kjukken - Udsolgt.,"['None', 'None']",2100,395
Julie Maria.,"['None', 'None']",2100,125
Mads Mathias Trio.,"[55.7589175, 12.5968742]",0030,490
"Andreas Fryland ""Standard Quartet"" feat. Per Møllehøj, Jakob Roland &amp; Rolf Tofte.","[55.68379270000001, 12.5762312]",1430,90
Satie med venner 2018 - Nytårskoncert 1.,"[55.686089, 12.533412]",1500,100
Nytårskoncert.,"[55.68221, 12.5525251]",1600,168
When Copenhell Freezes Over.,"[55.6680529, 12.5439823]",1900,165
70'er Galla - Jomfruburet Reunion.,"[55.6676766, 12.4400285]",1900,150
Koncert: Beethoven#1.,"[55.7086447, 12.4771908]",1900,
P6 BEAT Rocker Koncerthuset.,"[55.6575405, 12.5905654]",1930,255
Repeatles.,"[55.68181879999999, 12.4566722]",2000,200
New Orleans New Year Jazz Event #6 - DAY 2.,"[55.677125, 12.5651939]",2000,150
Brian Troy &amp; Elvis On My Mind.,"[None, None]",2000,160
Best of Bowie live.,"[55.666846, 12.5762349]",2030,125
Erik Stig + Løv.,"[55.6865864, 12.4914135]",2030,70
Kim Larsen &amp; Kjukken - Udsolgt.,"['None', 'None']",2100,395
Bajazzerne.,"[55.68181879999999, 12.4566722]",0000,
Nytårskoncert.,"[55.6716512, 12.5900008]",1500,100
Musikhøjskolens Nytårskoncert.,"[55.6783706, 12.5319005]",1500,
Nordic Singers.,"['None', 'None']",1600,
Palæ Bar Jazz.,"[None, None]",1700,
Stereo.,"[None, None]",1930,135
Den Gule Kulturcafe: Jazz med Boysen/Andersen Band - Feat. Susanne Overgaard.,"[55.68310409999999, 12.5054508]",None,
Onsdags-jazz på Lipperts.,"[55.6517012, 12.3037462]",1800,
Nytårskoncert.,"[55.73745899999999, 12.573438]",1900,150
"Kammermusikforeningen af 1911, Mathias Hedegaard tenor m. Tove Lønskov klaver.","[55.6817515, 12.5894416]",1930,130
Debutkoncert - Nordic String Quartet.,"[55.68111589999999, 12.5528412]",1930,
Jazz Lounge.,"[55.7018511, 12.4980497]",1300,
Fyraftenskoncert.,"[55.7351542, 12.5118229]",1730,
Saraste &amp; Brahms' 1.,"[55.6575405, 12.5905654]",1930,85
Nytårskoncert med Københavns Kantatekor og -orkester.,"[55.7563963, 12.4763035]",1930,
August Rosenbaum (DK) with full band.,"[55.6680529, 12.5439823]",2000,
Wang Wen (CN).,"[55.6680687, 12.5444302]",2100,135
Francesco Signa Quintet feat Bob Rockwell.,"[55.68379270000001, 12.5762312]",1530,120
Fredagkoncert: Kammermusik.,"[55.6815933, 12.5761475]",1630,
Cphphil Stjerneviolinist.,"[55.68111589999999, 12.5528412]",1930,210
Musikhøjskolens Kulturaften.,"[55.686089, 12.533412]",1930,
P2 Prisen.,"[55.6575405, 12.5905654]",1930,73
Årets Unge Jazzkomponist 2018 &amp; Leo Mathisen Prisen.,"[55.6575405, 12.5905654]",2000,110
$uicideboy$ (US).,"[55.6680529, 12.5439823]",2000,215
"Wild Wax Combo med Frank Rothstein, Frede Norbrink og Jesper Agerschou.","[55.68181879999999, 12.4566722]",2000,140
Drab Majesty (US).,"[55.6680687, 12.5444302]",2000,
Cod Roe Blues Band.,"[55.666846, 12.5762349]",2000,100
Wolf Alice (UK).,"[55.6680529, 12.5439823]",2100,220
Duo Adore i Natkirken.,"[55.679125, 12.577278]",2100,
Vinøs matine.,"[55.679125, 12.577278]",1400,
Nulle/Kaspersen Duo.,"[55.68379270000001, 12.5762312]",1430,100
Saraste &amp; Brahms' 1.,"[55.6575405, 12.5905654]",1500,85
Satie med venner 2018 - Nytårskoncert 2.,"[55.686089, 12.533412]",1500,100
Nytårskoncert 2018.,"[55.5959324, 12.6369114]",1600,
Nytårskoncert.,"[55.79529, 12.4630711]",1600,
Kim Larsen &amp; Kjukken - Udsolgt!,"[55.68181879999999, 12.4566722]",2000,400
Det Åbne Hus spiller op til folkedans på Stades Krog 9.,"[55.7735008, 12.5004462]",2000,40
Auðn (IS) + Support.,"['None', 'None']",2100,95
"Arild Kvartetten spiller Beethoven, LvB#1.","[55.6794587, 12.5862154]",0000,200
Jazz Menu - Forår 2018.,"['None', 'None']",1300,110
Orgelkoncert: AejiChoi.,"[55.684364, 12.541787]",1500,
Nytårskoncert.,"[55.6478938, 12.6049463]",1600,
Nytårskoncert 2018.,"[55.5959324, 12.6369114]",1600,
The Bootleg Beatles in Concert.,"[55.6575405, 12.5905654]",2000,390
Iron &amp; Wine.,"[55.6680529, 12.5439823]",2000,270
Sigrid.,"[55.6680529, 12.5439823]",2100,180
Vinterjazz og Sildebord med South Coast Stompers.,"[55.68181879999999, 12.4566722]",0030,
Paddy Doyles Kvartet.,"[55.7305364, 12.3522152]",1930,140
Joey Moe - Akustisk koncert.,"[55.6575405, 12.5905654]",2000,220
Alt-j.,"[55.681116, 12.552841]",2000,
Tæt på Lis Sørensen og alle balladerne.,"[55.701843, 12.511142]",1800,970
Jazz: Berømte Kvartetter.,"[55.76075609999999, 12.4568021]",1900,
Koncertserien 24 - koncerter med unge talenter.,"[55.686089, 12.533412]",1900,
Troen på lyset - DR VokalEnsemble.,"[55.6817515, 12.5894416]",1930,
The Lone Bellow.,"[55.6680529, 12.5439823]",2000,220
Dermot Kennedy (IE).,"[55.6680529, 12.5439823]",2100,
Musikalsk underholdning med Steen Nielsen.,"[55.6636925, 12.3940946]",1330,30
"ALL SWING &amp; BOSSA, Ole Schmidt, tenorsax og Jørgen Schaarup, guitar.","[55.6792101, 12.5897645]",1900,
Alsop &amp; Hahn.,"[55.6575405, 12.5905654]",1930,85
Syng Sammen Aften.,"[None, None]",1930,
Blå Mandag Jazz Band.,"[55.7597679, 12.3389448]",1930,
Koncert med Rødovre Concert Band.,"[55.7165482, 12.533708]",1930,
Halfdanskerne.,"[55.7395721, 12.4933224]",1930,
Frida Asmussen &amp; Rasmus Ehlers Trio.,"[55.68379270000001, 12.5762312]",1530,120
Fredagskoncert.,"[55.6815933, 12.5761475]",1630,
Alsop &amp; Hahn.,"[55.6575405, 12.5905654]",1930,85
Cphphil Bernstein 100 år.,"[55.68111589999999, 12.5528412]",1930,210
Vesterbro Kammerkor.,"[55.679125, 12.577278]",1930,
Monique Thomas &amp; Burich-l´Etienne New Orleans Ensemble.,"[55.73196, 12.3625764]",2000,120
Route 66 - 60'er musik - Smokie Jam.,"[55.8155789, 12.4025647]",2030,100
Daniel Caesar.,"[55.6575405, 12.5905654]",2100,240
Motor Mille &amp; band.,"[55.6738385, 12.5685115]",1000,125
"Martin Lutz Group ""In Denmark I was born"" Concert &amp; Release.","[55.68379270000001, 12.5762312]",1430,100
Hærens Officersskoles Kammerkoncert - elever på Særligt Intensivt Forløb.,"[55.6718189, 12.5276756]",1600,
Lis Sørensen.,"[55.7589175, 12.5968742]",1830,1220
Joey Moe - Akustisk - Udsolgt!,"[55.68181879999999, 12.4566722]",1900,285
Mike Andersen med band.,"['None', 'None']",2000,175
Allan Olsen solo.,"[55.6794587, 12.5862154]",2000,
Steppeulven 2018 - De danske musikkritikeres pris.,"[55.6768444, 12.5611143]",2000,225
William Dion & Band.,"[55.6865864, 12.4914135]",2030,80
Jake Bugg - Solo Acoustic Tour.,"[55.6575405, 12.5905654]",2100,270
Colter Wall (CA).,"[55.6680529, 12.5439823]",2100,200
Marvelous Mosell.,"[55.6578915, 12.3563706]",2100,199
Erik Krøller Andersens CPH Five.,"[55.68181879999999, 12.4566722]",0000,
James Rasmussen Trio (+søndagsbord).,"[55.7018511, 12.4980497]",1400,100
Koncert i Solgårdens Café.,"[55.788641, 12.458762]",1430,
Din Danske Sang.,"[55.6575405, 12.5905654]",1500,
Anne Linnet.,"[None, None]",1500,365
Ord &amp; Musik i Husumvold Kirke: Grieg-Salon.,"[55.7106939, 12.4847902]",1600,
NOAH - akustisk.,"[55.6575405, 12.5905654]",2000,245
Rotting Christ / Carach Angren.,"[55.677125, 12.5651939]",2000,
The Last Bandoleros (US).,"['None', 'None']",2000,170
Cults på Loppen.,"[55.673854, 12.597078]",2030,160
Gunnertoft Gospel Singers [Høje Taastrup] DK-turné.,"[55.652175, 12.261124]",1930,100
Orgelkoncert.,"[55.6817515, 12.5894416]",1930,
Steel Panther - Lower The Bar Tour.,"[55.6680529, 12.5439823]",2000,320
"Jes Holtsø, Tobias Trier og Morten Wittrock.","[55.6756788, 12.5735544]",2130,
Danmarks mest kendte taburet rykker ind på Beghusets scene sammen med Eddie Skoller.,"[55.5933194, 12.6720892]",1800,415
"ALL SWING &amp; BOSSA, Ole Schmidt, tenorsax og Jørgen Schaarup, guitar.","[55.6792101, 12.5897645]",1900,
Kavakos &amp; Dvoraks 7.,"[55.6575405, 12.5905654]",1930,85
Morten (dk).,"[55.6680529, 12.5439823]",2000,225
Ibrahim Electric.,"[55.7700496, 12.4996326]",2000,
Månegarm / Cruachan / Ereb Altor.,"[55.673854, 12.597078]",2030,220
CPHPHIL 60 minutes of Ane Brun.,"[55.68111589999999, 12.5528412]",2100,270
Miriam Mandipira &amp; Kjeld Lauritsen Trio.,"[55.68379270000001, 12.5762312]",1530,120
Fredagskoncert.,"[55.6815933, 12.5761475]",1630,
Kavakos &amp; Dvoraks 7.,"[55.6575405, 12.5905654]",1930,85
Gulddreng.,"[55.6252114, 12.5736741]",1930,395
Gulddreng - Guldbillet.,"[55.6252114, 12.5736741]",1931,630
Peach Pit (CA).,"[55.6680529, 12.5439823]",2000,150
The Billy Cross Band.,"[55.68181879999999, 12.4566722]",2000,200
Rudersdal Big Band - Vinterjazz 2018.,"[55.686089, 12.533412]",2000,50
Hvide Løgne - De største danske hits.,"[55.68181879999999, 12.4566722]",2030,180
The Colley Koppel Colloquium.,"[55.6646175, 12.5100884]",2100,160
