What,Where,When,How_Much
Folkemusikfællesskaber og -institutioner i 1970'erne og 2010'erne v. Lene Halskov Hansen.,"[55.686089, 12.533412]",1930,
Russ - There's Really A Wolf In Europe Tour.,"[55.6575405, 12.5905654]",2100,275
Lhuma (50/50 koncert).,"['None', 'None']",1930,55
Debutkoncert - James Black.,"[55.68111589999999, 12.5528412]",1930,
Carl Emil solo.,"[55.7457159, 12.4410792]",2000,160
Sankt Petersborg Musikaften.,"[55.686089, 12.533412]",2000,150
Charlie Parr (us).,"[55.6756788, 12.5735544]",2130,
Koncert med Bersærk.,"[55.68310409999999, 12.5054508]",1900,
"ALL SWING &amp; BOSSA, Ole Schmidt, tenorsax og Jørgen Schaarup, guitar.","[55.6792101, 12.5897645]",1900,
Luisi &amp; Beethovens 5.,"[55.6575405, 12.5905654]",1930,85
Kim Larsen &amp; Kjukken (DK) - Ekstra koncert - UDSOLGT.,"[55.6680529, 12.5439823]",2000,375
Kendrick Lamar - The Damn. Tour - Udsolgt/venteliste.,"[55.6252114, 12.5736741]",2000,425
"Profanatica, Auroch, Rites Of Thy Degringolade @ Loppen.","[55.673854, 12.597078]",2030,99
Chimbos Revival.,"[55.6764278, 12.5733942]",2100,
Jethro Tull by Ian Andersen.,"[55.7186459, 12.5979103]",1900,495
Sko/torp.,"[55.7589175, 12.5968742]",1900,820
Jazz Band Ball med South Coast Stompers.,"[55.67715399999999, 12.459278]",1900,60
Luisi &amp; Beethovens 5.,"[55.6575405, 12.5905654]",1930,85
Pink Floyd Project - 50 Years of Floyd.,"[55.65525909999999, 12.2956019]",2000,285
Thomas Helmig + Support.,"[55.72161, 12.36926]",2000,375
Sonja Hald.,"[55.68181879999999, 12.4566722]",2000,140
Lis Sørensen.,"[55.6794587, 12.5862154]",2000,300
Rasmus Lyberth.,"['None', 'None']",2000,175
Kim Larsen &amp; Kjukken (dk) - Udsolgt.,"[55.6680529, 12.5439823]",2000,375
Binkbeats (NL).,"[55.6680529, 12.5439823]",2000,165
Cindy Wilson (US).,"[None, None]",2000,250
Six City Stompers Med Mads Mathias.,"[55.8155789, 12.4025647]",2100,125
Lisztige Rapsodier.,"[55.686089, 12.533412]",1600,
Monk Parker (US).,"[55.6680687, 12.5444302]",2000,145
Kellermensch.,"[55.6575405, 12.5905654]",2000,195
Piano Battle 2018.,"[55.73196, 12.3625764]",2000,80
The script.,"[55.6711643, 12.6203919]",2000,350
JazzaBrasil.,"[55.6712453, 12.5908425]",1500,50
"Koncert med John Kruse, Kim Bak Dinitzen og Elisabeth Westenholz.","[55.6725191, 12.5872964]",1500,
Velgørenhedskoncert ved Tommy Wedel/Knud Rasmussen.,"[55.780023, 12.480222]",1500,
Julekoncert med Søs Fenger.,"[55.682018, 12.6006229]",1600,290
Musik for alle - spillet af børn.,"[55.668571, 12.4647919]",1600,
Koncert og foredrag.,"[55.6556526, 12.61767]",1600,
Single Rocks store Julefest med band.,"[55.701021, 12.53664]",1800,325
KettleMetal.,"[55.6787723, 12.5314573]",1800,99
Kreshme Ensemble.,"[55.62326359999999, 12.4235991]",1900,150
Syngesalon med saxofonist Hans Ulrik.,"[55.686089, 12.533412]",1900,150
Adventskoncert med Gospel Unusual.,"[55.7055957, 12.5094961]",1900,
